Address1,Apt,Case,Pri_Offens,Off_Code,Offense,tract,date_rept,DATEofReport,REP_DATE,date_occ,hour_occ,dow,date_fnd,hour_fnd,dow,DayCount,HRCount,Hrcalc,Hrcalcw,TimeCode,FID,X,Y,,,Donxees,Donyees,
1306 STANFORD DR,,07003344,1,AGA,AGGRAVATED ASSAULT,07U,"04/12/2007""  ""17:59:00 a04/p04",04/12/07,07/04/12 ,"04/12/2007""  ""16:45:00 a04/p04",1645,TH,"04/12/2007""  ""16:45:00 a04/p04",16:45,TH,0,00:00,0,CALC,T9,31,893821.40300000005,504487.02600000001,,,,,
1527 ALBENGA AV,1204-A,07006207,1,AGA,AGGRAVATED ASSAULT,07U,"07/14/2007""  ""13:30:56 a07/p07",07/14/07,07/07/14 ,"07/14/2007""  ""07:51:00 a07/p07",0751,SA,"07/14/2007""  ""07:51:00 a07/p07",07:51,SA,0,00:00,0,CALC,T4,110,891783.19900000002,502422.848,,,,,
1241 THEO DICKINSON DR,,07009851,1,AGA,AGGRAVATED ASSAULT,07U,[$-409]10/30/07 10:54 a10/p10,10/30/07,07/10/30 ,[$-409]10/30/07 10:15 a10/p10,1015,TU,[$-409]10/30/07 10:15 a10/p10,10:15,TU,0,00:00,0,CALC,T6,81,892858.31700000004,503002.52299999999,,,891951.060,502352.380,
1239 DICKINSON DR,700,13008329,1,AGA,AGGRAVATED ASSAULT,07U,,11/06/13,,11/05/13,2356,TU,11/05/13,2357,TU,0,0.000706,0,CALC,T1,73,892981.07499999995,503526.10499999998,,,893603.060,505267.690,
1231 THEO DICKINSON DR,,09009357,1,AGD,AGGRAVATED BATTERY,07U,11/20/09,11/20/09,09/11/20,11/20/09,1428,FR,11/20/09,14:28 a12/p12,FR,0,00:00,0,CALC,T8,#N/A,#N/A,#N/A,,,894951.380,503904.940,
1200 DICKINSON DR,BLK,11000373,1,AGD,AGGRAVATED BATTERY,07U,,01/17/2011,11/01/17,[$-409]02:10 a01/p01,[$-409]02:10 a01/p01,MO,01/17/2011,[$-409]02:20 a01/p01,MO,0,0.006944,0,CALC,T2,250,893858.34400000004,503792.57199999999,,,891669.870,502097.840,
5200 UNIVERSITY DR,,11002497,1,AGD,AGGRAVATED BATTERY,07U,,04/ 1/2011,11/04/01,[$-409]23:30 a03/p03,[$-409]23:30 a03/p03,TH,03/31/2011,[$-409]23:30 a03/p03,TH,0,0.000012,0,CALC,T12,769,894970.15500000003,505443.304,,,892822.380,501564.190,
1245 DAUER DR,,11004417,1,AGD,AGGRAVATED BATTERY,07U,,06/ 7/2011,11/06/07,[$-409]16:15 a06/p06,[$-409]16:15 a06/p06,TU,06/ 7/2011,[$-409]16:15 a06/p06,TU,0,0.000069,0,CALC,T9,#N/A,#N/A,#N/A,,,892151.250,502788.340,
1311 MILLER DR,,13007365,1,AGD,AGGRAVATED BATTERY,07U,,10/03/13,,10/03/13,2040,TH,10/03/13,2045,TH,0,0.003472,0,CALC,T1,32,893531.48600000003,504366.55300000001,,,893202.500,503207.000,
5185 PONCE DE LEON BLVD,511,09001151,1,AGC,AGGRAVATED KIDNAPPING / FALSE IMPRISONMENT,07U,02/11/09,02/11/09,09/02/11,02/11/09,1330,WE,02/11/09,13:30 a12/p12,WE,0,00:00,0,CALC,T7,#N/A,#N/A,#N/A,,,892158.500,502114.460,
5915 PONCE DE LEON BLVD,,13001748,1,AGC,AGGRAVATED KIDNAPPING / FALSE IMPRISONMENT,07U,,03/06/13,,03/06/13,1422,WE,03/06/13,1422,WE,0,00:00,0,CALC,T1,132,892107.03200000001,501012.946,,,891629.500,502075.590,
1239 THEO DICKINSON DR,,07000317,1,ALA,ALCOHOL JUVENILE VIOLATION,07U,"01/13/2007""  ""02:58:17 a01/p01",01/13/07,07/01/13 ,"01/13/2007""  ""02:58:00 a01/p01",0258,SA,"01/13/2007""  ""02:58:00 a01/p01",02:58,SA,0,00:00,0,CALC,T2,#N/A,#N/A,#N/A,,,894667.940,504124.660,
5616 GEORGE E MERRICK ST,315,07000532,2,ALA,ALCOHOL JUVENILE VIOLATION,07U,"01/20/2007""  ""00:00:00 a01/p01",01/20/07,07/01/20 ,"01/20/2007""  ""00:00:00 a01/p01",0114,SA,"01/20/2007""  ""00:00:00 a01/p01",0.051389,SA,0,00:00,0,CALC,T1,#N/A,#N/A,#N/A,,,891793.380,501571.630,
1203 WILLIAM E WALSH AV,F,07000533,2,ALA,ALCOHOL JUVENILE VIOLATION,07U,"01/20/2007""  ""05:16:00 a01/p01",01/20/07,07/01/20 ,"01/20/2007""  ""05:16:00 a01/p01",0516,SA,"01/20/2007""  ""05:16:00 a01/p01",05:16,SA,0,00:00,0,CALC,T3,58,894141.21200000006,503428.23700000002,,,892151.250,502788.340,
1200 WILLIAM E WALSH AV,BLK,07000651,1,ALA,ALCOHOL JUVENILE VIOLATION,07U,"01/24/2007""  ""03:40:00 a01/p01",01/24/07,07/01/24 ,"01/24/2007""  ""03:40:00 a01/p01",0340,WE,"01/24/2007""  ""03:40:00 a01/p01",03:39,WE,0,00:00,0,CALC,T2,#N/A,#N/A,#N/A,,,894285.000,506040.970,
1300 MILLER DR,,07000837,2,ALA,ALCOHOL JUVENILE VIOLATION,07U,"01/30/2007""  ""04:28:00 a01/p01",01/30/07,07/01/30 ,"01/30/2007""  ""04:28:00 a01/p01",0428,TU,"01/30/2007""  ""04:28:00 a01/p01",04:28,TU,0,00:00,0,CALC,T3,#N/A,#N/A,#N/A,,,0.000,0.000,
1229 THEO DICKINSON DR,,07001021,1,ALA,ALCOHOL JUVENILE VIOLATION,07U,"02/ 4/2007""  ""02:30:00 a02/p02",02/04/07,07/02/04 ,"02/ 4/2007""  ""01:14:00 a02/p02",0114,SU,"02/ 4/2007""  ""01:14:00 a02/p02",0.051389,SU,0,00:00,0,CALC,T1,#N/A,#N/A,#N/A,,,893881.060,503611.660,
1231 THEO DICKINSON DR,,07001165,1,ALA,ALCOHOL JUVENILE VIOLATION,07U,"02/ 9/2007""  ""05:35:23 a02/p02",02/09/07,07/02/09 ,"02/ 9/2007""  ""02:35:00 a02/p02",0235,FR,"02/ 9/2007""  ""02:35:00 a02/p02",02:35,FR,0,00:00,0,CALC,T2,#N/A,#N/A,#N/A,,,894581.190,505710.250,
1231 THEO DICKINSON DR,,07001430,1,ALA,ALCOHOL JUVENILE VIOLATION,07U,"02/16/2007""  ""01:38:54 a02/p02",02/16/07,07/02/16 ,"02/16/2007""  ""00:25:00 a02/p02",0025,FR,"02/16/2007""  ""00:25:00 a02/p02",0.017361,FR,0,00:00,0,CALC,T1,#N/A,#N/A,#N/A,,,894581.190,505710.250,
1231 THEO DICKINSON DR,,07001483,2,ALA,ALCOHOL JUVENILE VIOLATION,07U,"02/18/2007""  ""18:00:00 a02/p02",02/18/07,07/02/18 ,"02/18/2007""  ""02:18:00 a02/p02",0218,SU,"02/18/2007""  ""02:18:00 a02/p02",0.095833,SU,0,00:00,0,CALC,T2,#N/A,#N/A,#N/A,,,893371.630,502064.840,
