address,apt,case,offense_code,offense,date_rept,date_occu,hour_occu,date_fnd,hour_fnd,lat,lon
1111 STANFORD DR,,07000393,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-01-16,2007-01-16,0955,2007-01-16,0955,25.7171882,-80.2738016
1239 THEO DICKINSON DR,,07000405,TVA,THEFT OF AUTOMOBILE,2007-01-16,2007-01-16,0200,2007-01-16,0.083,25.715591,-80.2816
5821 HURRICANE DR,,07000925,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-02-01,2007-02-01,1040,2007-02-01,1040,25.72149,-80.2683838
5501 SAN AMARO DR,,07001009,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-02-03,2007-02-03,1230,2007-02-03,1230,25.7187893,-80.2803368
1101 STANFORD DR,,07001103,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-02-07,2007-02-07,0948,2007-02-07,0948,25.7183323,-80.27499759999999
1211 THEO DICKINSON DR,,07001200,ZOA,TRESPASS WARNING,2007-02-10,2007-02-10,0105,2007-02-10,0.045,25.716037,-80.27868200000002
1200 THEO DICKINSON DR,BLK,07001236,PRA,PROPERTY FOUND IMPOUNDED,2007-02-11,2007-02-11,1210,2007-02-11,1210,25.7175523,-80.27766249999999
1101 STANFORD DR,623,07001491,PRA,PROPERTY FOUND IMPOUNDED,2007-02-18,2007-02-18,2018,2007-02-18,2018,25.7183323,-80.27499759999999
1101 STANFORD DR,,07002052,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-03-06,2007-03-06,0915,2007-03-06,0915,25.7183323,-80.27499759999999
1100 STANFORD DR,,07002257,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-03-12,2007-03-12,1005,2007-03-12,1005,25.7176103,-80.2745494
5185 PONCE DE LEON BLVD,,07002442,ALA,ALCOHOL JUVENILE VIOLATION,2007-03-17,2007-03-17,0053,2007-03-17,0.036,25.7179231,-80.2737624
1200 STANFORD DR,BLK,07002545,PRA,PROPERTY FOUND IMPOUNDED,2007-03-20,2007-03-20,1429,2007-03-20,1429,25.7181127,-80.27525659999999
5821 SAN AMARO DR,,07002974,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-04-02,2007-04-02,1115,2007-04-02,1115,25.714778,-80.28324909999999
1551 SAN AMARO DR,,07002998,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-04-02,2007-04-02,0840,2007-04-02,0840,25.7229037,-80.2809522
1231 THEO DICKINSON DR,PENTLD1014,07003384,ALA,ALCOHOL JUVENILE VIOLATION,2007-04-14,2007-04-14,0100,2007-04-14,0.041,25.7169005,-80.280238
1200 THEO DICKINSON DR,,07003686,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-04-23,2007-04-23,1149,2007-04-23,1149,25.7175523,-80.27766249999999
5821 SAN AMARO DR,,07004491,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-05-16,2007-05-16,0835,2007-05-16,0835,25.714778,-80.28324909999999
5600 GEORGE E MERRICK ST,BLK,07005467,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-06-18,2007-06-18,1245,2007-06-18,1245,25.7183404,-80.27676699999999
5665 PONCE DE LEON BLVD,,07006717,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-08-01,2007-08-01,0920,2007-08-01,0920,25.7127401,-80.2809083
5800 SAN AMARO DRIVE,BLK,07007917,ZOD,INCIDENT REPORT,2007-09-08,2007-09-08,1145,2007-09-08,1145,25.7150399,-80.283608
1320 CAMPO SANO AV,118,07008030,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-09-11,2007-09-11,1300,2007-09-11,1300,25.7243451,-80.2763148
5665 PONCE DE LEON BLVD,,07008674,THK,THEFT OTHER,2007-09-27,2007-09-24,1630,2007-09-24,1630,25.7127401,-80.2809083
5665 PONCE DE LEON BLVD,,07008797,ZOE,SUSPICIOUS INCIDENT,2007-10-01,2007-09-24,0000,2007-10-01,0000,25.7127401,-80.2809083
1239 THEO DICKINSON DR,,07009462,ZOD,INCIDENT REPORT,2007-10-19,2007-10-19,0250,2007-10-19,0250,25.715591,-80.2816
1231 THEO DICKINSON DR,,07009517,ALA,ALCOHOL JUVENILE VIOLATION,2007-10-21,2007-10-21,0325,2007-10-21,0325,25.7169005,-80.280238
1101 STANFORD DR,,07009531,ZOE,SUSPICIOUS INCIDENT,2007-10-21,2007-10-21,2142,2007-10-21,2142,25.7183323,-80.27499759999999
5821 SAN AMARO DR,,07009546,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-10-22,2007-10-22,1035,2007-10-22,1035,25.714778,-80.28324909999999
5821 SAN AMARO DR,,07009544,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-10-22,2007-10-11,1900,2007-10-11,1900,25.714778,-80.28324909999999
5501 SAN AMARO DR,134,07009563,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-10-22,2007-10-22,1000,2007-10-22,1000,25.7187893,-80.2803368
1239 THEO DICKINSON DR,,07009620,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-10-23,2007-10-23,1810,2007-10-23,1810,25.715591,-80.2816
1365 MEMORIAL DR,,07009575,THC,THEFT FROM MOTOR VEHICLE,2007-10-23,2007-10-23,0008,2007-10-23,0.005,25.7214386,-80.2799399
5821 SAN AMARO DR,,07009598,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-10-23,2007-10-11,1900,2007-10-11,1900,25.714778,-80.28324909999999
1315 MILLER DR,,07009633,DIA,DISTURBANCE DOMESTIC,2007-10-24,2007-10-24,0915,2007-10-24,0915,25.7202721,-80.2790816
1315 MILLER DR,,07009633,SCB,SIMPLE ASSAULT THREATS,2007-10-24,2007-10-24,0915,2007-10-24,0915,25.7202721,-80.2790816
1315 MILLER DR,,07009633,ZOA,SIMPLE ASSAULT THREATS,2007-10-24,2007-10-24,0915,2007-10-24,0915,25.7202721,-80.2790816
1239 THEO DICKINSON DR,W1107,07009641,BUA,BURGLARY RESIDENTIAL,2007-10-24,2007-10-23,1630,2007-10-24,1630,25.715591,-80.2816
1239 THEO DICKINSON DR,W1107,07009641,THK,BURGLARY RESIDENTIAL,2007-10-24,2007-10-23,1630,2007-10-24,1630,25.715591,-80.2816
5700 PONCE DE LEON BLVD,BLK,07009645,THC,THEFT FROM MOTOR VEHICLE,2007-10-24,2007-10-24,1105,2007-10-24,1105,25.7122517,-80.2804582
1211 THEO DICKINSON DR,,07009650,THC,THEFT FROM MOTOR VEHICLE,2007-10-24,2007-10-23,0900,2007-10-23,0900,25.716037,-80.27868200000002
1239 THEO DICKINSON DR,RT921,07009666,FDD,FD SICK INJURED PERSON,2007-10-25,2007-10-25,0005,2007-10-25,0.003,25.715591,-80.2816
1231 THEO DICKINSON DR,MT904,07009669,FDD,FD SICK INJURED PERSON,2007-10-25,2007-10-25,0338,2007-10-25,0337,25.7169005,-80.280238
1210 STANFORD DR,,07009690,FAL,FAMILY MISSING PERSON RECOVERY,2007-10-25,2007-10-21,1200,2007-10-25,1200,25.7182056,-80.27484319999999
5500 SAN AMARO DR,,07009703,THC,THEFT FROM MOTOR VEHICLE,2007-10-25,2007-10-23,0800,2007-10-23,0800,25.7202428,-80.2810222
1311 MILLER DR,,07009770,THC,THEFT FROM MOTOR VEHICLE,2007-10-27,2007-10-27,0855,2007-10-27,0855,25.720387,-80.279546
5638 GEORGE E MERRICK ST,,07009777,THC,THEFT FROM MOTOR VEHICLE,2007-10-27,2007-10-27,0000,2007-10-27,0000,25.7162931,-80.276198
5638 GEORGE E MERRICK ST,,07009778,THC,THEFT FROM MOTOR VEHICLE,2007-10-27,2007-10-13,1500,2007-10-14,1500,25.7162931,-80.276198
5185 PONCE DE LEON BLVD,610,07009782,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-10-27,2007-10-27,1630,2007-10-27,1630,25.7179231,-80.2737624
1239 THEO DICKINSON DR,,07009789,ALA,ALCOHOL JUVENILE VIOLATION,2007-10-28,2007-10-28,0240,2007-10-28,0240,25.715591,-80.2816
5638 GEORGE E MERRICK ST,,07009803,ZOA,TRESPASS WARNING,2007-10-28,2007-10-28,2012,2007-10-28,2012,25.7162931,-80.276198
5638 GEORGE E MERRICK ST,,07009803,ZOB,TRESPASS WARNING,2007-10-28,2007-10-28,2012,2007-10-28,2012,25.7162931,-80.276198
5500 SAN AMARO DR,BLK,07009819,THC,THEFT FROM MOTOR VEHICLE,2007-10-29,2007-10-28,2200,2007-10-29,2200,25.7202428,-80.2810222
5616 GEORGE E MERRICK ST,22A,07009829,THK,THEFT OTHER,2007-10-29,2007-10-28,2330,2007-10-29,2330,25.7163614,-80.2762681
1101 STANFORD DR,328,07009834,SCB,SIMPLE ASSAULT THREATS,2007-10-29,2007-10-29,1700,2007-10-29,1700,25.7183323,-80.27499759999999
5100 BRUNSON DR,,07009863,PRC,PROPERTY DAMAGED,2007-10-30,2007-10-30,1123,2007-10-30,1123,25.7224132,-80.27591269999999
5185 PONCE DE LEON BLVD,,07009869,PRB,PROPERTY LOST,2007-10-30,2007-09-20,0000,2007-10-30,0000,25.7179231,-80.2737624
1101 STANFORD DR,326,07009892,SCB,SIMPLE ASSAULT THREATS,2007-10-31,2007-10-31,1045,2007-10-31,1045,25.7183323,-80.27499759999999
1223 THEO DICKINSON DR,,07009904,FDD,FD INJURED PERSON,2007-10-31,2007-10-31,1505,2007-10-31,1504,25.7170977,-80.2793768
1200 THEO DICKINSON DR,BLK,07009938,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-11-01,2007-11-01,1242,2007-11-01,1242,25.7175523,-80.27766249999999
1211 THEO DICKINSON DR,,07009948,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-11-01,2007-11-01,1500,2007-11-01,1500,25.716037,-80.27868200000002
1200 STANFORD DR,BLK,07009919,ALA,ALCOHOL JUVENILE VIOLATION,2007-11-01,2007-11-01,0224,2007-11-01,0.1,25.7181127,-80.27525659999999
1311 MILLER DR,,07009978,ZOD,INCIDENT REPORT,2007-11-02,2007-11-02,1110,2007-11-02,1110,25.720387,-80.279546
5100 BRUNSON DR,,07009988,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-11-02,2007-11-02,1100,2007-11-02,1100,25.7224132,-80.27591269999999
1290 CAMPO SANO AV,,07009990,THC,THEFT FROM MOTOR VEHICLE,2007-11-02,2007-11-02,0930,2007-11-02,0930,25.7245327,-80.2752466
1239 THEO DICKINSON DR,,07010002,SCD,SIMPLE STALKING,2007-11-03,2007-11-03,0140,2007-11-03,0.069,25.715591,-80.2816
1311 MILLER DR,,07010011,ZOE,SUSPICIOUS INCIDENT,2007-11-03,2007-10-30,1600,2007-10-31,1600,25.720387,-80.279546
1311 MILLER DR,,07010013,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-11-03,2007-11-02,2130,2007-11-02,2130,25.720387,-80.279546
5501 SAN AMARO DR,,07010017,THC,THEFT FROM MOTOR VEHICLE,2007-11-03,2007-11-02,2230,2007-11-03,2230,25.7187893,-80.2803368
1311 MILLER DR,,07010031,PRA,PROPERTY FOUND IMPOUNDED,2007-11-04,2007-11-04,0045,2007-11-04,0.031,25.720387,-80.279546
1311 MILLER DR,,07010042,DIB,DISTURBANCE OTHER,2007-11-04,2007-11-04,1645,2007-11-04,1645,25.720387,-80.279546
5900 SAN AMARO DR,BLK,07010047,DCC,DISORDERLY INTOXICATION,2007-11-05,2007-11-05,0105,2007-11-05,0.045,25.7136802,-80.28354949999999
5900 SAN AMARO DR,BLK,07010047,THK,THEFT OTHER,2007-11-05,2007-11-05,0105,2007-11-05,0.045,25.7136802,-80.28354949999999
1500 ALBENGA AV,,07010066,PRB,PROPERTY LOST,2007-11-05,2007-11-01,0300,2007-11-01,0300,25.7139677,-80.2833294
5665 PONCE DE LEON BLVD,,07010111,ZOD,INCIDENT REPORT,2007-11-06,2007-11-06,1557,2007-11-06,1557,25.7127401,-80.2809083
1311 MILLER DR,G178,07010141,ZOE,SUSPICIOUS INCIDENT,2007-11-07,2007-11-07,1140,2007-11-07,1140,25.720387,-80.279546
1231 THEO DICKINSON DR,MT 222,07010150,BUA,BURGLARY RESIDENTIAL,2007-11-07,2007-10-13,0000,2007-11-07,0000,25.7169005,-80.280238
1231 THEO DICKINSON DR,MT 222,07010150,THK,BURGLARY RESIDENTIAL,2007-11-07,2007-10-13,0000,2007-11-07,0000,25.7169005,-80.280238
1231 THEO DICKINSON DR,,07010160,THC,THEFT FROM MOTOR VEHICLE,2007-11-07,2007-10-31,1600,2007-11-04,1600,25.7169005,-80.280238
5665 PONCE DE LEON BLVD,,07010217,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-11-08,2007-11-08,0800,2007-11-08,0800,25.7127401,-80.2809083
5500 SAN AMARO DR,,07010184,THC,THEFT FROM MOTOR VEHICLE,2007-11-08,2007-11-08,1250,2007-11-08,1249,25.7202428,-80.2810222
5501 SAN AMARO DR,,07010196,THC,THEFT FROM MOTOR VEHICLE,2007-11-08,2007-11-08,0745,2007-11-08,0745,25.7187893,-80.2803368
1210 STANFORD DR,,07010205,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-11-08,2007-11-08,2200,2007-11-08,2200,25.7182056,-80.27484319999999
5185 PONCE DE LEON BLVD,,07010209,ALA,ALCOHOL JUVENILE VIOLATION,2007-11-09,2007-11-09,0444,2007-11-09,0444,25.7179231,-80.2737624
5501 SAN AMARO DR,130,07010215,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-11-09,2007-10-30,1700,2007-10-31,1700,25.7187893,-80.2803368
5250 UNIVERSITY DR,,07010234,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-11-09,2007-11-08,2130,2007-11-09,2130,25.720281,-80.27595199999999
1239 THEO DICKINSON DR,,07010250,ALA,ALCOHOL JUVENILE VIOLATION,2007-11-10,2007-11-10,0230,2007-11-10,0230,25.715591,-80.2816
