ADDRESS,Apt,Caee,Primary Offense,Off_Code,Offense,tract,repdate,date_rept,date_occu,hour_occu,dow1,date_fnd,hour_fnd,,,,,
1520 LIGURIA AV,,11000040,1,BUA,BURGLARY RESIDENTIAL,07U,,01/ 3/2011,11/01/03,[$-409]12/23/10 19:00 a12/p12,[$-409]19:00 a12/p12,[$-409]12/28/10 22:00 a12/p12,[$-409]22:00 a12/p12,385,891902.84400000004,502168.55800000002,,
1520 LIGURIA AV,,11000040,2,THM,THEFT FROM BURGLARY,07U,,01/ 3/2011,11/01/03,[$-409]12/23/10 19:00 a12/p12,[$-409]19:00 a12/p12,[$-409]12/28/10 22:00 a12/p12,[$-409]22:00 a12/p12,385,891902.84400000004,502168.55800000002,,
1300 STANFORD DR,BLK,11000045,1,FDD,FD SICK/INJURED PERSON,07U,,01/ 3/2011,11/01/03,[$-409]01/ 3/11 18:10 a01/p01,[$-409]18:10 a01/p01,[$-409]01/ 3/11 18:10 a01/p01,[$-409]18:10 a01/p01,433,894300.18400000001,504348.26199999999,,
6000 SAN AMARO DR,,11000057,1,THC,THEFT FROM MOTOR VEHICLE,07U,,01/ 4/2011,11/01/04,[$-409]01/ 4/11 10:00 a01/p01,[$-409]10:00 a01/p01,[$-409]01/ 4/11 11:35 a01/p01,[$-409]11:35 a01/p01,419,892135.44499999995,502061.07400000002,,
5202 UNIVERSITY DR,,11000127,1,BUB,BURGLARY NON-RESIDENTIAL,07U,,01/ 6/2011,11/01/06,[$-409]01/ 5/11 19:32 a01/p01,[$-409]19:32 a01/p01,[$-409]01/ 6/11 11:30 a01/p01,[$-409]11:30 a01/p01,27,894455.40899999999,504947.43699999998,,
1241 DICKINSON DR,,11000132,1,FDD,FD SICK/INJURED PERSON,07U,,01/ 6/2011,11/01/06,[$-409]01/ 6/11 20:50 a01/p01,[$-409]20:50 a01/p01,[$-409]01/ 6/11 20:50 a01/p01,[$-409]20:50 a01/p01,81,892858.31700000004,503002.52299999999,,
5900 SAN AMARO DR,,11000151,1,TVA,THEFT OF AUTOMOBILE,07U,,01/ 7/2011,11/01/07,[$-409]12/16/10 12:00 a12/p12,[$-409]12:00 a12/p12,[$-409]01/ 7/11 13:20 a01/p01,[$-409]13:20 a01/p01,416,891901.80700000003,502330.61099999998,,
1599 BRESCIA AV/RED RD,,11000184,1,VEL,VEHICLE TRAFFIC CRASH,07U,,01/ 8/2011,11/01/08,[$-409]01/ 8/11 00:00 a01/p01,[$-409]00:00 a01/p01,[$-409]01/ 8/11 00:00 a01/p01,[$-409]00:00 a01/p01,,,,,
5801 PONCE DE LEON BLVD,,11000192,1,VAC,VANDALISM TO PROPERTY,07U,,01/ 9/2011,11/01/09,[$-409]01/ 8/11 23:45 a01/p01,[$-409]23:45 a01/p01,[$-409]01/ 9/11 00:00 a01/p01,[$-409]00:00 a01/p01,51,895056.26599999995,503786.853,,
5202 UNIVERSITY DR,102,11000231,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,01/11/2011,11/01/11,[$-409]01/11/11 09:45 a01/p01,[$-409]09:45 a01/p01,[$-409]01/11/11 10:16 a01/p01,[$-409]10:16 a01/p01,27,894455.40899999999,504947.43699999998,,
