Address1,Apt,Case,Pri_Offens,Off_Code,Offense,tract,DATEofReport,date_occ,hour_occ,date_fnd,hour_fnd,FID,X,Y,Donxees,Donyees
1306 STANFORD DR,,08000032,1,FRG,FRAUD BY UTTERING FORGERY,07U,2008-01-02,2008-01-02,1536,2008-01-02,1536,31,893821.40300000005,504487.02600000001,,
1306 STANFORD DR,,08000032,2,FRG,FRAUD POSSESSION OF COUNTERFEIT,07U,2008-01-02,2008-01-02,1536,2008-01-02,1536,31,893821.40300000005,504487.02600000001,,
1306 STANFORD DR,,08000032,1,FRH,FRAUD BY UTTERING FORGERY,07U,2008-01-02,2008-01-02,1536,2008-01-02,1536,31,893821.40300000005,504487.02600000001,,
1306 STANFORD DR,,08000032,2,FRH,FRAUD BY UTTERING FORGERY,07U,2008-01-02,2008-01-02,1536,2008-01-02,1536,31,893821.40300000005,504487.02600000001,,
1216 THEO DICKINSON DR,,08000058,2,SCE,VANDALISM TO VEHICLE,07U,2008-01-03,2008-01-02,1930,2008-01-02,1930,62,893730.56900000002,503420.55200000003,,
1216 THEO DICKINSON DR,,08000058,1,VAB,VANDALISM TO VEHICLE,07U,2008-01-03,2008-01-02,1930,2008-01-02,1930,62,893730.56900000002,503420.55200000003,,
5665 PONCE DE LEON BLVD,,08000097,1,VAB,VANDALISM TO VEHICLE,07U,2008-01-04,2008-01-04,0001,2008-01-04,0.000,,,,,
1330 MILLER DR,,08000128,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2008-01-05,2008-01-05,2250,2008-01-05,2250,32,893531.48600000003,504366.55300000001,,
1330 MILLER DR,,08000131,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2008-01-06,2008-01-05,2250,2008-01-05,2250,32,893531.48600000003,504366.55300000001,,
1330 MILLER DR,,08000136,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2008-01-06,2008-01-05,2145,2008-01-05,2145,32,893531.48600000003,504366.55300000001,,
1330 MILLER DR,,08000136,1,THK,THEFT OTHER,07U,2008-01-06,2008-01-05,2145,2008-01-05,2145,32,893531.48600000003,504366.55300000001,,
1330 MILLER DR,,08000136,2,VAC,VANDALISM TO PERSONAL PROPERTY,07U,2008-01-06,2008-01-05,2145,2008-01-05,2145,32,893531.48600000003,504366.55300000001,,
1330 MILLER DR,,08000141,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2008-01-06,2008-01-05,2145,2008-01-05,2145,32,893531.48600000003,504366.55300000001,,
1330 MILLER DR,,08000141,1,VAC,VANDALISM TO PERSONAL PROPERTY,07U,2008-01-06,2008-01-05,2145,2008-01-05,2145,32,893531.48600000003,504366.55300000001,,
1330 MILLER DR,,08000141,2,VAC,VANDALISM TO PERSONAL PROPERTY,07U,2008-01-06,2008-01-05,2145,2008-01-05,2145,32,893531.48600000003,504366.55300000001,,
5183 PONCE DE LEON BLVD,,08000143,1,THC,THEFT FROM MOTOR VEHICLE,07U,2008-01-06,2008-01-05,2140,2008-01-06,2140,49,895569.78700000001,504323.94,,
5616 GEORGE E MERRICK ST,,08000148,1,VAB,VANDALISM TO VEHICLE,07U,2008-01-07,2008-01-06,2341,2008-01-06,2341,,,,,
5616 GEORGE E MERRICK ST,,08000148,1,ZOE,SUSPICIOUS INCIDENT,07U,2008-01-07,2008-01-06,2341,2008-01-06,2341,,,,,
5050 BRUNSON DR,,08000170,1,THC,THEFT FROM MOTOR VEHICLE,07U,2008-01-07,2008-01-07,0930,2008-01-07,0930,20,894420.18700000003,505665.27899999998,,
5821 SAN AMARO DR,278,08000172,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2008-01-07,2008-01-07,1000,2008-01-07,1000,,,,,
5500 SAN AMARO DR,BLK,08000188,1,XOT,TRESPASSING,07U,2008-01-08,2008-01-08,1012,2008-01-08,1012,,,,,
5800 SAN AMARO DR,,08000197,1,VAA,VANDALISM TO STRUCTURE,07U,2008-01-08,2008-01-07,1800,2008-01-08,1800,,,,,
5800 SAN AMARO DR,,08000197,2,VAB,VANDALISM TO STRUCTURE,07U,2008-01-08,2008-01-07,1800,2008-01-08,1800,,,,,
1306 STANFORD DR,,08000215,1,THK,THEFT OTHER,07U,2008-01-09,2008-01-09,0306,2008-01-09,0306,31,893821.40300000005,504487.02600000001,,
1239 THEO DICKINSON DR,,08000248,1,ZOA,TRESPASS WARNING,07U,2008-01-10,2008-01-10,0045,2008-01-10,0.031,,,,,
6300 SAN AMARO DR,BLK,08000273,1,VEA,VEHICLE DRIVING / BOATING UNDER THE INFLUENCE,07U,2008-01-11,2008-01-11,0110,2008-01-11,0.048,,,,,
6300 SAN AMARO DR,BLK,08000273,2,VEC,VEHICLE DRIVING / BOATING UNDER THE INFLUENCE,07U,2008-01-11,2008-01-11,0110,2008-01-11,0.048,,,,,
5900 SAN AMARO DR,BLK,08000285,1,ZOE,SUSPICIOUS INCIDENT,07U,2008-01-11,2008-01-11,0900,2008-01-11,0900,,,,,
1551 BRESCIA AV,,08000292,1,BUB,BURGLARY NON-RESIDENTIAL,07U,2008-01-11,2008-01-11,1410,2008-01-11,1410,99,891580.03899999999,501686.75099999999,,
1551 BRESCIA AV,,08000292,2,THK,BURGLARY NON-RESIDENTIAL,07U,2008-01-11,2008-01-11,1410,2008-01-11,1410,99,891580.03899999999,501686.75099999999,,
1551 BRESCIA AV,,08000292,2,XOM,BURGLARY NON-RESIDENTIAL,07U,2008-01-11,2008-01-11,1410,2008-01-11,1410,99,891580.03899999999,501686.75099999999,,
1551 BRESCIA AV,,08000292,2,XOR,BURGLARY NON-RESIDENTIAL,07U,2008-01-11,2008-01-11,1410,2008-01-11,1410,99,891580.03899999999,501686.75099999999,,
1551 BRESCIA AV,,08000292,2,ZOA,BURGLARY NON-RESIDENTIAL,07U,2008-01-11,2008-01-11,1410,2008-01-11,1410,99,891580.03899999999,501686.75099999999,,
5616 GEORGE E MERRICK ST,,08000289,1,XOT,TRESPASSING,07U,2008-01-11,2008-01-11,1230,2008-01-11,1230,,,,,
5665 PONCE DE LEON BLVD,,08000313,1,ZOA,TRESPASS WARNING,07U,2008-01-12,2008-01-12,1220,2008-01-12,1220,,,,,
1245 DAUER DR,,08000337,1,VAB,VANDALISM TO VEHICLE,07U,2008-01-13,2008-01-13,1315,2008-01-13,1315,65,893424.071,502854.73300000001,,
5183 PONCE DE LEON BLV,,08000357,1,THC,THEFT FROM MOTOR VEHICLE,07U,2008-01-14,2008-01-12,2355,2008-01-13,2355,,,,,
1365 MEMORIAL DR,,08000276,1,ZOA,TRESPASS WARNING,07U,2008-01-14,2008-01-11,0330,2008-01-11,0330,,,,,
