address,apt,case,primary_offense,offense_code,offense,tract,date_rept,date_occu,hour_occu,date_fnd,hour_fnd,fid,x,y
5030 BRUNSON DR,,13000129,1,ZOA,TRESPASS WARNING,07U,2013-01-08,2013-01-08,0840,2013-01-08,0844,,,
1306 STANFORD DR,,13000135,1,BUB,BURGLARY NON-RESIDENTIAL,07U,2013-01-08,2013-01-04,2013,2013-01-08,1015,891,893950.33700000006,504530.01299999998
1527 ALBENGA AV,,13000155,1,JUA,JUVENILE MISDEMEANOR OFFENDER,07U,2013-01-08,2013-01-08,2042,2013-01-08,2043,110,891783.19900000002,502422.848
1527 ALBENGA AV,,13000155,2,ZOA,TRESPASS WARNING,07U,2013-01-08,2013-01-08,2042,2013-01-08,2043,110,891783.19900000002,502422.848
1500 ALBENGA AV,BLK,13000161,1,ZOA,TRESPASS WARNING,07U,2013-01-09,2013-01-09,0901,2013-01-09,0905,,,
1300 STANFORD DR,BLK,13000179,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-01-09,2013-01-09,1659,2013-01-09,1659,,,
1231 DICKINSON DR,,13000188,1,JUA,JUVENILE MISDEMEANOR OFFENDER,07U,2013-01-09,2013-01-09,2255,2013-01-09,2255,,,
1231 DICKINSON DR,,13000188,2,ZOA,TRESPASS WARNING,07U,2013-01-09,2013-01-09,2255,2013-01-09,2255,,,
1223 DICKINSON DR,,13000203,1,FDD,FD SICK/INJURED PERSON,07U,2013-01-10,2013-01-10,1310,2013-01-10,1310,,,
1231 DICKINSON DR,,13000215,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-01-10,2013-01-10,2055,2013-01-10,2055,,,
1306 STANFORD DR,,13000239,1,ZOD,INCIDENT REPORT,07U,2013-01-11,2013-01-11,1712,2013-01-11,1722,,,
1241 DICKINSON DR,,13000241,2,FRL,FRAUD OTHER JURISDICTION,07U,2013-01-11,2013-01-11,1530,2013-01-11,1900,,,
1241 DICKINSON DR,,13000241,1,THC,THEFT FROM MOTOR VEHICLE,07U,2013-01-11,2013-01-11,1530,2013-01-11,1900,,,
1570 LIGURIA AV,111B,13000243,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-01-11,2013-01-11,1925,2013-01-11,1945,261,891462.24800000002,501943.88500000001
1570 LIGURIA AV,111B,13000243,1,ZOQ,ULEAD,07U,2013-01-11,2013-01-11,1925,2013-01-11,1945,261,891462.24800000002,501943.88500000001
1239 DICKINSON DR,WT1204,13000245,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-01-11,2013-01-11,2035,2013-01-11,2035,,,
1239 DICKINSON DR,WT1204,13000245,1,ZOQ,ULEAD,07U,2013-01-11,2013-01-11,2035,2013-01-11,2035,,,
1231 DICKINSON DR,,13000252,1,FDD,FD SICK/INJURED PERSON,07U,2013-01-12,2013-01-12,0445,2013-01-12,0445,,,
1231 DICKINSON DR,MT1206,13000268,1,DRA,DRUG POSSESSION CONTROLLED SUBSTANCE,07U,2013-01-13,2013-01-13,0210,2013-01-13,0430,,,
1231 DICKINSON DR,MT1206,13000268,2,DRF,DRUG POSSESSION OF PARAPHERNALIA / EQUIPMENT,07U,2013-01-13,2013-01-13,0210,2013-01-13,0430,,,
1231 DICKINSON DR,MT1206,13000268,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-01-13,2013-01-13,0210,2013-01-13,0430,,,
1231 DICKINSON DR,MT1206,13000268,2,XOM,OBSTRUCTION OF JUSTICE / RESIST ARREST / ESCAPE,07U,2013-01-13,2013-01-13,0210,2013-01-13,0430,,,
1231 DICKINSON DR,MT1206,13000268,2,ZOQ,ULEAD,07U,2013-01-13,2013-01-13,0210,2013-01-13,0430,,,
6000 SAN AMARO DR,,13000282,1,ZOM,INTOXICATED PERSON,07U,2013-01-14,2013-01-14,0151,2013-01-14,0152,,,
1549 S ALHAMBRA CIR/PONCE DE LEON BLVD,,13000297,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-01-14,2013-01-14,1351,2013-01-14,1351,,,
5185 PONCE DE LEON BLVD,438,13000309,1,ZOD,INCIDENT REPORT,07U,2013-01-14,2013-01-14,0415,2013-01-14,0425,,,
5050 BRUNSON DR,,13000328,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-01-15,2013-01-15,1302,2013-01-15,1302,,,
1530 LIGURIA AV,,13000340,1,THC,THEFT FROM MOTOR VEHICLE,07U,2013-01-16,2013-01-15,1700,2013-01-15,1738,339,894138.79,504028.02799999999
1306 STANFORD DR,,13000341,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2013-01-15,2013-01-14,1800,2013-01-15,0800,897,893975.39899999998,504486.64500000002
1300 MEMORIAL DR,,13000349,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-01-15,2013-01-15,2212,2013-01-15,2212,,,
1300 MEMORIAL DR,,13000374,1,ZOA,TRESPASS WARNING,07U,2013-01-16,2013-01-16,1545,2013-01-16,1550,,,
1300 MEMORIAL DR,,13000374,2,ZOE,SUSPICIOUS INCIDENT,07U,2013-01-16,2013-01-16,1545,2013-01-16,1550,,,
1549 S ALHAMBRA CIR/PONCE DE LEON BLVD,,13000381,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-01-17,2013-01-17,0850,2013-01-17,0850,,,
1239 DICKINSON DR,R319,13000406,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-01-17,2013-01-17,2200,2013-01-17,2205,,,
1239 DICKINSON DR,R319,13000406,1,ZOQ,ULEAD,07U,2013-01-17,2013-01-17,2200,2013-01-17,2205,,,
1239 DICKINSON DR,,13000408,1,ZOM,INTOXICATED PERSON,07U,2013-01-18,2013-01-18,0034,2013-01-18,0035,,,
1239 DICKINSON DR,,13000410,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-01-18,2013-01-18,0130,2013-01-18,0140,,,
1239 DICKINSON DR,,13000410,1,ZOQ,ULEAD,07U,2013-01-18,2013-01-18,0130,2013-01-18,0140,,,
1231 DICKINSON DR,,13000411,1,ZOM,INTOXICATED PERSON,07U,2013-01-18,2013-01-18,0400,2013-01-18,0410,,,
1500 ALBENGA AV/SAN AMARO DR,,13000416,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-01-18,2013-01-18,0837,2013-01-18,0837,,,
1300 MEMORIAL DR,,13000423,1,PRB,PROPERTY LOST,07U,2013-01-18,2013-01-17,1730,2013-01-17,1745,,,
1239 DICKINSON DR,RT1200,13000430,1,FDD,FD SICK/INJURED PERSON,07U,2013-01-18,2013-01-18,1620,2013-01-18,1621,,,
1231 DICKINSON DR,,13000436,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-01-18,2013-01-18,2230,2013-01-18,2231,,,
1231 DICKINSON DR,,13000436,1,ZOQ,ULEAD,07U,2013-01-18,2013-01-18,2230,2013-01-18,2231,,,
1231 DICKINSON DR,,13000447,1,ZOE,SUSPICIOUS INCIDENT,07U,2013-01-19,2013-01-18,2000,2013-01-19,1330,,,
5801 SAN AMARO DR,101C,13000465,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2013-01-20,2013-01-19,0830,2013-01-19,2100,79,892347.24699999997,502912.07500000001
5615 PAVIA ST,,13000466,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-01-20,2013-01-20,1541,2013-01-20,1541,54,894485.30200000003,503768.17499999999
1239 DICKINSON DR,,13000484,1,DRA,DRUG POSSESSION CONTROLLED SUBSTANCE,07U,2013-01-21,2013-01-21,1258,2013-01-21,1305,,,
1239 DICKINSON DR,,13000484,2,DRE,DRUG TRAFFICKING CONTROLLED SUBSTANCE,07U,2013-01-21,2013-01-21,1258,2013-01-21,1305,,,
1239 DICKINSON DR,,13000484,2,DRF,DRUG POSSESSION OF PARAPHERNALIA / EQUIPMENT,07U,2013-01-21,2013-01-21,1258,2013-01-21,1305,,,
