address,apt,case,primary_offense,offense_code,offense,date_rept,date_occu,hour_occu,date_fnd,hour_fnd,fid,x,y
1525 ALBENGA AV,,07000101,1,VAB,VANDALISM TO VEHICLE,2007-01-04,2007-01-03,1600,2007-01-04,1600,109,891786.45900000003,502485.90500000003
1111 MEMORIAL DR,,07000110,1,VAC,VANDALISM TO PERSONAL PROPERTY,2007-01-04,2007-01-04,1627,2007-01-04,1627,,,
5665 PONCE DE LEON BLVD,BLK,07000120,2,DRA,DRUG POSSESSION CONTROLLED SUBSTANCE,2007-01-05,2007-01-05,0101,2007-01-05,0.042,,891951.060,502352.380
5665 PONCE DE LEON BLVD,BLK,07000120,1,VEA,VEHICLE DRIVING / BOATING UNDER THE INFLUENCE,2007-01-05,2007-01-05,0101,2007-01-05,0.042,,893603.060,505267.690
1200 STANFORD DR,,07000131,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,2007-01-05,2007-01-05,1501,2007-01-05,1501,,894951.380,503904.940
5600 PONCE DE LEON BLVD,BLK,07000142,1,VEA,VEHICLE DRIVING / BOATING UNDER THE INFLUENCE,2007-01-06,2007-01-06,0119,2007-01-06,0.054,,891669.870,502097.840
5821 SAN AMARO DR,,07000273,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,2007-01-11,2007-01-11,1400,2007-01-11,1400,,892151.250,502788.340
1239 THEO DICKINSON DR,,07000317,1,ALA,ALCOHOL JUVENILE VIOLATION,2007-01-13,2007-01-13,0258,2007-01-13,0258,,893202.500,503207.000
1565 LIGURIA AV,,07000318,1,ZOJ,BAKER / MARCHMAN ACT,2007-01-13,2007-01-13,0150,2007-01-13,0.076,106,891560.51199999999,502214.28499999997
6000 SAN AMARO DR,,07000319,1,ZOA,TRESPASS WARNING,2007-01-13,2007-01-13,0151,2007-01-13,0.077,,891629.500,502075.590
5185 PONCE DE LEON BLVD,7 FLOOR,07000377,1,ZOD,INCIDENT REPORT,2007-01-15,2007-01-15,1654,2007-01-15,1653,,894667.940,504124.660
5050 BRUNSON DR,,07000388,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,2007-01-16,2007-01-16,0900,2007-01-16,0900,20,894420.18700000003,505665.27899999998
1551 BRESCIA AV,,07000385,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,2007-01-16,2007-01-16,0905,2007-01-16,0905,99,891580.03899999999,501686.75099999999
1551 BRESCIA AVE,,07000391,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,2007-01-16,2007-01-16,0925,2007-01-16,0925,,894285.000,506040.970
1111 STANFORD DR,,07000393,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,2007-01-16,2007-01-16,0955,2007-01-16,0955,,0.000,0.000
5821 SAN AMARO DR,,07000394,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,2007-01-16,2007-01-16,1024,2007-01-16,1024,,893881.060,503611.660
5513  GEO MERRICK DR,,07000395,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,2007-01-16,2007-01-16,1121,2007-01-16,1121,,894581.190,505710.250
1306 STANFORD DR,,07000380,1,ZOA,TRESPASS WARNING,2007-01-16,2007-01-16,0353,2007-01-16,0353,31,893821.40300000005,504487.02600000001
