address,fid,building_name,x,y
"(100 on map 1550 Brescia AV, Alumni",98,Alumni House,891560.93700000003,501444.27600000001
1000 Memorial DR,28,Ferre Graduate School,894184.72699999996,504997.91200000001
"1101 Stanford DR, Commons",48,Mahoney Pearson Commons,895121.18,504205.408
"1101 Stanford DR, Long",131,"Mahoney Residential College, Long Wing",895221.08200000005,503966.17599999998
"1101 Stanford DR, Short",129,"Mahoney Residential College, Short Wing",895055.79700000002,504146.53700000001
"1101 Stanford DR, Side",47,Mahoney Side Wing,895051.522,504006.97100000002
1111 Memorial DR,18,Memorial Classroom,894105.66599999997,505505.27299999999
1150 Stanford DR,133,Canterbury School,894933.25600000005,503710.15
1203 William E Walsh AV,58,Building #41 - Railey,894141.21200000006,503428.23700000002
1204 Theo Dickinson DR,61,Building #37 - Rhodes House,893997.68799999997,503562.033
"1211 Theo Dickinson DR, Central",67,Eaton Residential College,893671.82799999998,503718.77100000001
"1212 Theo Dickinson DR, West",67,Eaton Residential College,893590.83799999999,503671.04700000002
"1213 Theo Dickinson DR, East",67,Eaton Residential College,893788.87199999997,503761.54599999997
1213 William E Walsh AV,59,Building #42 - Smith,894010.11800000002,503323.35100000002
1216 Theo Dickinson DR,62,Building #36 - Foster,893730.56900000002,503420.55200000003
1217 Theo Dickinson DR,68,Building #49 - School of Architecture,893551.11,503595.68699999998
1221 William E Walsh AV,60,Building #43 - Allen,893899.23800000001,503195.21100000001
"1223 Theo Dickinson DR, Annex",66,"School of Architecture, Annex",893596.68799999997,503449.32699999999
"1223 Theo Dickinson DR, Building 48",69,Building #48 - School of Architecture,893474.83100000001,503511.23499999999
"1224 Theo Dickinson DR, Main",66,"School of Architecture, Main",893135.81400000001,504982.44300000003
1228 Theo Dickinson DR,63,Building #35 - LaGorce,893509.95700000005,503319.49900000001
"1231 Theo Dickinson DR, Commons",72,Hecht Residential College - Commons,893156.39199999999,503434.00900000002
"1231 Theo Dickinson DR, McDonald",70,Hecht Residential College - McDonald Tower,893261.76699999999,503552.82699999999
"1231 Theo Dickinson DR, Pentland",71,Hecht Residential College - Pentland Tower,893300.82700000005,503382.65600000002
1238 Theo Dickinson DR,64,Building #34 - Pentland,893333.80900000001,503125.55
"1239 Theo Dickinson DR, Commons",76,Stanford Residential College - Commons,892865.95600000001,503580.26199999999
"1239 Theo Dickinson DR, Dinning",75,Stanford/Hecht Dinning,892755.73499999999,503357.43699999998
"1239 Theo Dickinson DR, Rosborough",73,Stanford Residential College - Rosborough Tower,892981.07499999995,503526.10499999998
"1239 Theo Dickinson DR, Utility",77,Utility Plant # 2,892845.15300000005,503281.21
"1240 Theo Dickinson DR, Walsh",74,Stanford Residential College - Walsh Tower,892974.25199999998,503706.15500000003
1241 Theo Dickinson DR,81,Smathers Wellness Center,892858.31700000004,503002.52299999999
1244 Stanford DR,45,Mahoney Pearson Dinning Hall,895022.70700000005,504471.212
1245 Dauer DR,65,Bank United Center - BUC,893424.071,502854.73300000001
"1251 Memorial DR, Annex",9,McArthur Engineering Annex,893583.06499999994,505652.473
"1251 Memorial DR, Building",8,McArthur Engineering Building,893652.01500000001,505562.71799999999
1252 Memorial DR,17,Ashe Administration Building,893876.15800000005,505263.125
1290 Campo Sano DR,0,L-1 Communication Building,893832.13199999998,505986.92200000002
"1300 Campo Sano DR, East",124,Art Building 1 - East,893657.14300000004,506098.21
"1300 Campo Sano DR, West",125,Art Building 1 - West,893521.13899999997,506120.29499999998
1300 Memorial DR,16,Richter Library and Richter Chiller Plan,893634.74199999997,505003.36800000002
1300 Theo Dickinson DR,90,Sculpture Studio,893194.61100000003,502210.72700000001
1300A Memorial DR,6,Memorial Gate House,893144.23899999994,504985.89199999999
1301 Memorial DR,7,Cox Science Center,893366.68200000003,505369.12400000001
1301 Stanford DR,50,Lowe Art Museum,894666.745,504343.22399999999
1303 Stanford DR,43,Behavioral Medical Research Building,894817.86600000004,504665.10800000001
1306 Stanford DR,31,Whitten University Center,893821.40300000005,504487.02600000001
1201 Stanford DR,44,Utility Plant #3,894967.58700000006,504654.63900000002
1310 Campo Sano DR,1,Art Annex Building 3,893411.61,506011.47399999999
