address,apt,case,primary_offense,offense_code,offense,date_rept,date_occu,hour_occu,date_fnd,hour_fnd,fid,lat,lon
1111 STANFORD DR,,07000393,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-01-16,2007-01-16,0955,2007-01-16,0955,,25.7171882,-80.2738016
1239 THEO DICKINSON DR,,07000405,1,TVA,THEFT OF AUTOMOBILE,2007-01-16,2007-01-16,0200,2007-01-16,0.083,,25.715591,-80.2816
5821 HURRICANE DR,,07000925,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-02-01,2007-02-01,1040,2007-02-01,1040,,25.72149,-80.2683838
5501 SAN AMARO DR,,07001009,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-02-03,2007-02-03,1230,2007-02-03,1230,,25.7187893,-80.2803368
1101 STANFORD DR,,07001103,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-02-07,2007-02-07,0948,2007-02-07,0948,,25.7183323,-80.27499759999999
1211 THEO DICKINSON DR,,07001200,1,ZOA,TRESPASS WARNING,2007-02-10,2007-02-10,0105,2007-02-10,0.045,,25.716037,-80.27868200000002
1200 THEO DICKINSON DR,BLK,07001236,1,PRA,PROPERTY FOUND IMPOUNDED,2007-02-11,2007-02-11,1210,2007-02-11,1210,,25.7175523,-80.27766249999999
1101 STANFORD DR,623,07001491,1,PRA,PROPERTY FOUND IMPOUNDED,2007-02-18,2007-02-18,2018,2007-02-18,2018,,25.7183323,-80.27499759999999
1101 STANFORD DR,,07002052,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-03-06,2007-03-06,0915,2007-03-06,0915,,25.7183323,-80.27499759999999
1100 STANFORD DR,,07002257,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-03-12,2007-03-12,1005,2007-03-12,1005,,25.7176103,-80.2745494
5185 PONCE DE LEON BLVD,,07002442,1,ALA,ALCOHOL JUVENILE VIOLATION,2007-03-17,2007-03-17,0053,2007-03-17,0.036,,25.7179231,-80.2737624
1200 STANFORD DR,BLK,07002545,1,PRA,PROPERTY FOUND IMPOUNDED,2007-03-20,2007-03-20,1429,2007-03-20,1429,,25.7181127,-80.27525659999999
5821 SAN AMARO DR,,07002974,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2007-04-02,2007-04-02,1115,2007-04-02,1115,,25.714778,-80.28324909999999
