address,apt,case,primary_offense,offense_code,offense,date_rept,date_occu,hour_occu,date_fnd,hour_fnd,fid,x,y
1111 MEMORIAL DR,,07000110,1,VAC,VANDALISM TO PERSONAL PROPERTY,2007-01-04,2007-01-04,1627,2007-01-04,1627,18,894105.66599999997,505505.27299999999
1245 DAUER DR,,10000084,1,ZOA,TRESPASS WARNING,2010-01-05,2010-01-05,1432,2010-01-05,1432,65,893424.071,502854.73300000001
1535 LEVANTE AV,,11000287,1,VEL,VEHICLE TRAFFIC CRASH,2011-01-13,2011-01-13,,1100-01-13,0000,94,891627.89,501154.33500000002
5615 PAVIA ST,,11000448,1,ZZZ,VOID RECORDS USE ONLY,2011-01-19,2011-01-19,0000,2011-01-19,0000,54,894485.30200000003,503768.17499999999
5615 PAVIA ST,,11000450,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-01-19,2011-01-19,0000,2011-01-19,0000,54,894485.30200000003,503768.17499999999
5615 PAVIA ST,,11000611,1,VEL,VEHICLE TRAFFIC CRASH,2011-01-25,2011-01-25,0000,2011-01-25,0000,54,894485.30200000003,503768.17499999999
1525 ALBENGA AV,,11000900,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-02-04,2011-02-04,0000,2011-02-04,0000,109,891786.45900000003,502485.90500000003
1300 MEMORIAL DR,,11001016,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-02-08,2011-02-08,0000,2011-02-08,0000,16,893634.74199999997,505003.36800000002
5615 PAVIA ST,,11001050,1,VEL,VEHICLE TRAFFIC CRASH,2011-02-09,2011-02-09,0000,2011-02-09,0000,54,894485.30200000003,503768.17499999999
1111 MEMORIAL DR,,11001062,1,VEL,VEHICLE TRAFFIC CRASH,2011-02-10,2011-02-10,0000,2011-02-10,0000,18,894105.66599999997,505505.27299999999
5050 BRUNSON DR,,11001205,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-02-15,2011-02-15,0000,2011-02-15,0000,20,894420.18700000003,505665.27899999998
