Address1,Apt,Case,Pri_Offens,Off_Code,Offense,tract,date_rept,date_occ,date_fnd,FID,X,Y
1525 ALBENGA AV,,07000101,1,VAB,VANDALISM TO VEHICLE,07U,"01/ 4/2007""  ""13:32:18 a01/p01","01/ 3/2007""  ""16:00:00 a01/p01","01/ 4/2007""  ""13:25:00 a01/p01",109,891786.45900000003,502485.90500000003
1111 MEMORIAL DR,,07000110,1,VAC,VANDALISM TO PERSONAL PROPERTY,07U,"01/ 4/2007""  ""17:48:00 a01/p01","01/ 4/2007""  ""16:27:00 a01/p01","01/ 4/2007""  ""16:27:00 a01/p01",###,#N/A,#N/A
5665 PONCE DE LEON BLVD,BLK,07000120,2,DRA,DRUG POSSESSION CONTROLLED SUBSTANCE,07U,"01/ 5/2007""  ""01:01:15 a01/p01","01/ 5/2007""  ""01:01:00 a01/p01","01/ 5/2007""  ""01:01:00 a01/p01",###,#N/A,#N/A
5665 PONCE DE LEON BLVD,BLK,07000120,1,VEA,VEHICLE DRIVING / BOATING UNDER THE INFLUENCE,07U,"01/ 5/2007""  ""01:01:15 a01/p01","01/ 5/2007""  ""01:01:00 a01/p01","01/ 5/2007""  ""01:01:00 a01/p01",###,#N/A,#N/A
1200 STANFORD DR,,07000131,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/ 5/2007""  ""15:01:58 a01/p01","01/ 5/2007""  ""15:01:57 a01/p01","01/ 5/2007""  ""15:01:58 a01/p01",#N/A,#N/A,#N/A
5600 PONCE DE LEON BLVD,BLK,07000142,1,VEA,VEHICLE DRIVING / BOATING UNDER THE INFLUENCE,07U,"01/ 6/2007""  ""05:18:44 a01/p01","01/ 6/2007""  ""01:19:00 a01/p01","01/ 6/2007""  ""03:30:00 a01/p01",#N/A,#N/A,#N/A
1560 LIGURIA AV,105,07000168,1,XOP,ORDINANCE VIOLATION,07U,"01/ 6/2007""  ""22:59:00 a01/p01","01/ 6/2006""  ""21:35:00 a01/p01","01/ 6/2007""  ""22:25:00 a01/p01",103,891566.97100000002,501944.41700000002
5821 SAN AMARO DR,,07000273,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,"01/11/2007""  ""16:44:21 a01/p01","01/11/2007""  ""14:00:00 a01/p01","01/11/2007""  ""16:16:00 a01/p01",#N/A,#N/A,#N/A
1239 THEO DICKINSON DR,,07000317,1,ALA,ALCOHOL JUVENILE VIOLATION,07U,"01/13/2007""  ""02:58:17 a01/p01","01/13/2007""  ""02:58:00 a01/p01","01/13/2007""  ""02:58:00 a01/p01",#N/A,#N/A,#N/A
1565 LIGURIA AV,,07000318,1,ZOJ,BAKER / MARCHMAN ACT,07U,"01/13/2007""  ""03:45:40 a01/p01","01/13/2007""  ""01:50:39 a01/p01","01/13/2007""  ""02:24:40 a01/p01",106,891560.51199999999,502214.28499999997
6000 SAN AMARO DR,,07000319,1,ZOA,TRESPASS WARNING,07U,"01/13/2007""  ""04:04:00 a01/p01","01/13/2007""  ""01:51:00 a01/p01","01/13/2007""  ""01:51:00 a01/p01",#N/A,#N/A,#N/A
5185 PONCE DE LEON BLVD,7 FLOOR,07000377,1,ZOD,INCIDENT REPORT,07U,"01/15/2007""  ""16:54:13 a01/p01","01/15/2007""  ""16:54:12 a01/p01","01/15/2007""  ""16:54:13 a01/p01",#N/A,#N/A,#N/A
5050 BRUNSON DR,,07000388,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/16/2007""  ""00:00:00 a01/p01","01/16/2007""  ""00:00:00 a01/p01","01/16/2007""  ""00:00:00 a01/p01",20,894420.18700000003,505665.27899999998
1551 BRESCIA AV,,07000385,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/16/2007""  ""00:00:00 a01/p01","01/16/2007""  ""00:00:00 a01/p01","01/16/2007""  ""00:00:00 a01/p01",99,891580.03899999999,501686.75099999999
1551 BRESCIA AVE,,07000391,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/16/2007""  ""00:00:00 a01/p01","01/16/2007""  ""00:00:00 a01/p01","01/16/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
1111 STANFORD DR,,07000393,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/16/2007""  ""00:00:00 a01/p01","01/16/2007""  ""00:00:00 a01/p01","01/16/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
5821 SAN AMARO DR,,07000394,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/16/2007""  ""00:00:00 a01/p01","01/16/2007""  ""00:00:00 a01/p01","01/16/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
5513  GEO MERRICK DR,,07000395,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/16/2007""  ""00:00:00 a01/p01","01/16/2007""  ""00:00:00 a01/p01","01/16/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
1306 STANFORD DR,,07000380,1,ZOA,TRESPASS WARNING,07U,"01/16/2007""  ""04:31:00 a01/p01","01/16/2007""  ""03:53:00 a01/p01","01/16/2007""  ""03:58:00 a01/p01",31,893821.40300000005,504487.02600000001
