Address1,Apt,Case,Pri_Offens,Off_Code,Offense,tract,date_rept,DATEofReport,REP_DATE,date_occ,hour_occ,date_fnd,hour_fnd,FID,X,Y,Donxees,Donyees
1525 ALBENGA AV,,07000101,1,VAB,VANDALISM TO VEHICLE,07U,"01/ 4/2007""  ""13:32:18 a01/p01",01/04/07,07/01/04 ,"01/ 3/2007""  ""16:00:00 a01/p01",1600,"01/ 4/2007""  ""13:25:00 a01/p01",16:00,109,891786.45900000003,502485.90500000003,,
1111 MEMORIAL DR,,07000110,1,VAC,VANDALISM TO PERSONAL PROPERTY,07U,"01/ 4/2007""  ""17:48:00 a01/p01",01/04/07,07/01/04 ,"01/ 4/2007""  ""16:27:00 a01/p01",1627,"01/ 4/2007""  ""16:27:00 a01/p01",16:27,###,#N/A,#N/A,,
5665 PONCE DE LEON BLVD,BLK,07000120,2,DRA,DRUG POSSESSION CONTROLLED SUBSTANCE,07U,"01/ 5/2007""  ""01:01:15 a01/p01",01/05/07,07/01/05 ,"01/ 5/2007""  ""01:01:00 a01/p01",0101,"01/ 5/2007""  ""01:01:00 a01/p01",0.042361,###,#N/A,#N/A,891951.060,502352.380
5665 PONCE DE LEON BLVD,BLK,07000120,1,VEA,VEHICLE DRIVING / BOATING UNDER THE INFLUENCE,07U,"01/ 5/2007""  ""01:01:15 a01/p01",01/05/07,07/01/05 ,"01/ 5/2007""  ""01:01:00 a01/p01",0101,"01/ 5/2007""  ""01:01:00 a01/p01",0.042361,###,#N/A,#N/A,893603.060,505267.690
1200 STANFORD DR,,07000131,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/ 5/2007""  ""15:01:58 a01/p01",01/05/07,07/01/05 ,"01/ 5/2007""  ""15:01:57 a01/p01",1501,"01/ 5/2007""  ""15:01:58 a01/p01",15:01,#N/A,#N/A,#N/A,894951.380,503904.940
5600 PONCE DE LEON BLVD,BLK,07000142,1,VEA,VEHICLE DRIVING / BOATING UNDER THE INFLUENCE,07U,"01/ 6/2007""  ""05:18:44 a01/p01",01/06/07,07/01/06 ,"01/ 6/2007""  ""01:19:00 a01/p01",0119,"01/ 6/2007""  ""03:30:00 a01/p01",0.054861,#N/A,#N/A,#N/A,891669.870,502097.840
1560 LIGURIA AV,105,07000168,1,XOP,ORDINANCE VIOLATION,07U,"01/ 6/2007""  ""22:59:00 a01/p01",01/06/07,07/01/06 ,"01/ 6/2006""  ""21:35:00 a01/p01",2135,"01/ 6/2007""  ""22:25:00 a01/p01",21:35,103,891566.97100000002,501944.41700000002,892822.380,501564.190
5821 SAN AMARO DR,,07000273,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,"01/11/2007""  ""16:44:21 a01/p01",01/11/07,07/01/11 ,"01/11/2007""  ""14:00:00 a01/p01",1400,"01/11/2007""  ""16:16:00 a01/p01",14:00,#N/A,#N/A,#N/A,892151.250,502788.340
1239 THEO DICKINSON DR,,07000317,1,ALA,ALCOHOL JUVENILE VIOLATION,07U,"01/13/2007""  ""02:58:17 a01/p01",01/13/07,07/01/13 ,"01/13/2007""  ""02:58:00 a01/p01",0258,"01/13/2007""  ""02:58:00 a01/p01",02:58,#N/A,#N/A,#N/A,893202.500,503207.000
1565 LIGURIA AV,,07000318,1,ZOJ,BAKER / MARCHMAN ACT,07U,"01/13/2007""  ""03:45:40 a01/p01",01/13/07,07/01/13 ,"01/13/2007""  ""01:50:39 a01/p01",0150,"01/13/2007""  ""02:24:40 a01/p01",0.076389,106,891560.51199999999,502214.28499999997,892158.500,502114.460
6000 SAN AMARO DR,,07000319,1,ZOA,TRESPASS WARNING,07U,"01/13/2007""  ""04:04:00 a01/p01",01/13/07,07/01/13 ,"01/13/2007""  ""01:51:00 a01/p01",0151,"01/13/2007""  ""01:51:00 a01/p01",0.077083,#N/A,#N/A,#N/A,891629.500,502075.590
5185 PONCE DE LEON BLVD,7 FLOOR,07000377,1,ZOD,INCIDENT REPORT,07U,"01/15/2007""  ""16:54:13 a01/p01",01/15/07,07/01/15 ,"01/15/2007""  ""16:54:12 a01/p01",1654,"01/15/2007""  ""16:54:13 a01/p01",16:53,#N/A,#N/A,#N/A,894667.940,504124.660
5050 BRUNSON DR,,07000388,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/16/2007""  ""00:00:00 a01/p01",01/16/07,07/01/16 ,"01/16/2007""  ""00:00:00 a01/p01",0900,"01/16/2007""  ""00:00:00 a01/p01",09:00,20,894420.18700000003,505665.27899999998,891793.380,501571.630
1551 BRESCIA AV,,07000385,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/16/2007""  ""00:00:00 a01/p01",01/16/07,07/01/16 ,"01/16/2007""  ""00:00:00 a01/p01",0905,"01/16/2007""  ""00:00:00 a01/p01",09:05,99,891580.03899999999,501686.75099999999,892151.250,502788.340
1551 BRESCIA AVE,,07000391,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/16/2007""  ""00:00:00 a01/p01",01/16/07,07/01/16 ,"01/16/2007""  ""00:00:00 a01/p01",0925,"01/16/2007""  ""00:00:00 a01/p01",09:25,#N/A,#N/A,#N/A,894285.000,506040.970
1111 STANFORD DR,,07000393,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/16/2007""  ""00:00:00 a01/p01",01/16/07,07/01/16 ,"01/16/2007""  ""00:00:00 a01/p01",0955,"01/16/2007""  ""00:00:00 a01/p01",09:55,#N/A,#N/A,#N/A,0.000,0.000
5821 SAN AMARO DR,,07000394,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/16/2007""  ""00:00:00 a01/p01",01/16/07,07/01/16 ,"01/16/2007""  ""00:00:00 a01/p01",1024,"01/16/2007""  ""00:00:00 a01/p01",10:24,#N/A,#N/A,#N/A,893881.060,503611.660
5513  GEO MERRICK DR,,07000395,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/16/2007""  ""00:00:00 a01/p01",01/16/07,07/01/16 ,"01/16/2007""  ""00:00:00 a01/p01",1121,"01/16/2007""  ""00:00:00 a01/p01",11:21,#N/A,#N/A,#N/A,894581.190,505710.250
1306 STANFORD DR,,07000380,1,ZOA,TRESPASS WARNING,07U,"01/16/2007""  ""04:31:00 a01/p01",01/16/07,07/01/16 ,"01/16/2007""  ""03:53:00 a01/p01",0353,"01/16/2007""  ""03:58:00 a01/p01",03:53,31,893821.40300000005,504487.02600000001,894581.190,505710.250
1306 STANFORD DR,,07000399,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,"01/16/2007""  ""13:30:50 a01/p01",01/16/07,07/01/16 ,"01/12/2007""  ""16:00:00 a01/p01",1600,"01/12/2007""  ""20:30:00 a01/p01",16:00,31,893821.40300000005,504487.02600000001,893371.630,502064.840
1211 THEO DICKINSON DR,,07000403,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,"01/16/2007""  ""16:16:29 a01/p01",01/16/07,07/01/16 ,"01/16/2007""  ""15:18:00 a01/p01",1518,"01/16/2007""  ""15:18:00 a01/p01",15:18,#N/A,#N/A,#N/A,895250.060,503571.220
1239 THEO DICKINSON DR,,07000405,1,TVA,THEFT OF AUTOMOBILE,07U,"01/16/2007""  ""17:50:06 a01/p01",01/16/07,07/01/16 ,"01/16/2007""  ""02:00:00 a01/p01",0200,"01/16/2007""  ""15:50:00 a01/p01",0.083333,#N/A,#N/A,#N/A,0.000,0.000
5200 BRUNSON DR,,07000409,1,THC,THEFT FROM MOTOR VEHICLE,07U,"01/16/2007""  ""18:13:06 a01/p01",01/16/07,07/01/16 ,"01/16/2007""  ""18:13:05 a01/p01",1813,"01/16/2007""  ""18:13:06 a01/p01",18:13,24,894706.67700000003,505424.42,894285.000,506040.970
5200 BRUNSON DR,,07000409,2,VAB,VANDALISM TO VEHICLE,07U,"01/16/2007""  ""18:13:06 a01/p01",01/16/07,07/01/16 ,"01/16/2007""  ""18:13:05 a01/p01",1813,"01/16/2007""  ""18:13:06 a01/p01",18:13,24,894706.67700000003,505424.42,894285.000,506040.970
