Range GridFID=A3:B895,,FIDRangeXY is $B$4:$E$895,,,,,,,,,Range=TimeRange,,Range=Hourttime,
Range Name AddressXY,,,,,,,Range Name CASE#FID,,,,00:00,T1,0,T1
Adress,FID,Building Name,X,Y,,,Case,FID,Signal,,0.083333,T2,2,T2
"(100 on map 1550 Brescia AV, Alumni",98,Alumni House,891560.93700000003,501444.27600000001,,,7009754,722,#N/A,,04:00,T3,4,T3
1000 Memorial DR,28,Ferre Graduate School,894184.72699999996,504997.91200000001,,,7009755,735,26v,,06:00,T4,6,T4
"1101 Stanford DR, Commons",48,Mahoney Pearson Commons,895121.18,504205.408,,,8006278,58,14tpw,,08:00,T5,8,T5
"1101 Stanford DR, Long",131,"Mahoney Residential College, Long Wing",895221.08200000005,503966.17599999998,,,00005161,643,26v,,10:00,T6,10,T6
"1101 Stanford DR, Short",129,"Mahoney Residential College, Short Wing",895055.79700000002,504146.53700000001,,,06009809,###,#N/A,,12:00,T7,12,T7
"1101 Stanford DR, Side",47,Mahoney Side Wing,895051.522,504006.97100000002,,,06009809,###,18,,14:00,T8,14,T8
1111 Memorial DR,18,Memorial Classroom,894105.66599999997,505505.27299999999,,,07000101,###,#N/A,,16:00,T9,16,T9
1150 Stanford DR,133,Canterbury School,894933.25600000005,503710.15,,,07000101,###,27,,18:00,T10,18,T10
1203 William E Walsh AV,58,Building #41 - Railey,894141.21200000006,503428.23700000002,,,07000110,###,#N/A,,20:00,T11,20,T11
1204 Theo Dickinson DR,61,Building #37 - Rhodes House,893997.68799999997,503562.033,,,07000110,###,43,,22:00,T12,22,T12
"1211 Theo Dickinson DR, Central",67,Eaton Residential College ,893671.82799999998,503718.77100000001,,,07000120,###,#N/A,,,,,
"1212 Theo Dickinson DR, West",67,Eaton Residential College ,893590.83799999999,503671.04700000002,,,07000120,###,#N/A,,,,,
"1213 Theo Dickinson DR, East",67,Eaton Residential College ,893788.87199999997,503761.54599999997,,,07000120,###,26,,,,,
1213 William E Walsh AV,59,Building #42 - Smith,894010.11800000002,503323.35100000002,,,07000120,###,28,,,,,
1216 Theo Dickinson DR,62,Building #36 - Foster,893730.56900000002,503420.55200000003,,,07000131,###,#N/A,,,,,
1217 Theo Dickinson DR,68,Building #49 - School of Architecture,893551.11,503595.68699999998,,,07000131,###,54,,CodeFilter,,,
1221 William E Walsh AV,60,Building #43 - Allen,893899.23800000001,503195.21100000001,,,07000142,###,#N/A,,AGA,Aggravated Assault,,
"1223 Theo Dickinson DR, Annex",66,"School of Architecture, Annex",893596.68799999997,503449.32699999999,,,07000142,###,41,,ALA,Alcohol Juvenile Violation,,
"1223 Theo Dickinson DR, Building 48",69,Building #48 - School of Architecture,893474.83100000001,503511.23499999999,,,07000168,###,#N/A,,BUA,Burglary Residential,,
"1224 Theo Dickinson DR, Main",66,"School of Architecture, Main",893135.81400000001,504982.44300000003,,,07000168,###,41,,BUB,Burglary Non Residential,,
1228 Theo Dickinson DR,63,Building #35 - LaGorce,893509.95700000005,503319.49900000001,,,07000273,###,#N/A,,DCA,Disorderly Conduct Fight,,
"1231 Theo Dickinson DR, Commons",72,Hecht Residential College - Commons,893156.39199999999,503434.00900000002,,,07000273,###,26v,,DCC,Disorderly Intoxication,,
"1231 Theo Dickinson DR, McDonald",70,Hecht Residential College - McDonald Tower,893261.76699999999,503552.82699999999,,,07000317,###,#N/A,,DIB,Disturbance Other,,
"1231 Theo Dickinson DR, Pentland",71,Hecht Residential College - Pentland Tower,893300.82700000005,503382.65600000002,,,07000317,###,35j,,DRA,Drug Possession,,
1238 Theo Dickinson DR,64,Building #34 - Pentland,893333.80900000001,503125.55,,,07000318,###,#N/A,,DRF,Drug Parephernalia,,
"1239 Theo Dickinson DR, Commons",76,Stanford Residential College - Commons,892865.95600000001,503580.26199999999,,,07000318,###,35,,FRB,Fraud by false pretense,,
"1239 Theo Dickinson DR, Dinning",75,Stanford/Hecht Dinning,892755.73499999999,503357.43699999998,,,07000319,###,#N/A,,FRC,Fraud by confidence game,,
"1239 Theo Dickinson DR, Rosborough",73,Stanford Residential College - Rosborough Tower,892981.07499999995,503526.10499999998,,,07000319,###,17,,FRD,Fraud by credit card atm card,,
"1239 Theo Dickinson DR, Utility",77,Utility Plant # 2,892845.15300000005,503281.21,,,07000377,###,#N/A,,FRE,Fraud by impersonation,,
"1240 Theo Dickinson DR, Walsh",74,Stanford Residential College - Walsh Tower,892974.25199999998,503706.15500000003,,,07000377,###,28,,FRG,Fraud by counterfeit,,
1241 Theo Dickinson DR,81,Smathers Wellness Center,892858.31700000004,503002.52299999999,,,07000380,###,#N/A,,FRK,Fraud Other,,
1244 Stanford DR,45,Mahoney Pearson Dinning Hall,895022.70700000005,504471.212,,,07000380,###,14,,PRA,Property Found Impounded,,
1245 Dauer DR,65,Bank United Center - BUC,893424.071,502854.73300000001,,,07000385,###,#N/A,,ROA,Robbery Armed,,
"1251 Memorial DR, Annex",9,McArthur Engineering Annex,893583.06499999994,505652.473,,,07000385,###,35,,ROE,Robbery Sudden Snatching,,
"1251 Memorial DR, Building",8,McArthur Engineering Building,893652.01500000001,505562.71799999999,,,07000388,###,#N/A,,SCA,Simple Battery,,
1252 Memorial DR,17,Ashe Administration Building,893876.15800000005,505263.125,,,07000388,###,35,,SCB,Simple Assault Threats,,
1290 Campo Sano DR,0,L-1 Communication Building,893832.13199999998,505986.92200000002,,,07000391,###,#N/A,,SCD,Simple Stalking,,
"1300 Campo Sano DR, East",124,Art Building 1 - East,893657.14300000004,506098.21,,,07000391,###,54,,SXA,Rape,,
"1300 Campo Sano DR, West",125,Art Building 1 - West,893521.13899999997,506120.29499999998,,,07000393,###,#N/A,,SXE,Indecent Exposure,,
1300 Memorial DR,16,Richter Library and Richter Chiller Plan,893634.74199999997,505003.36800000002,,,07000393,###,14,,THA,Theft of Auto Tag,,
1300 Theo Dickinson DR,90,Sculpture Studio,893194.61100000003,502210.72700000001,,,07000394,###,#N/A,,THB,Theft of Auto Part,,
1300A Memorial DR,6,Memorial Gate House,893144.23899999994,504985.89199999999,,,07000394,###,27,,THC,Theft from Motor Vehicle,,
1301 Memorial DR,7,Cox Science Center,893366.68200000003,505369.12400000001,,,07000395,###,#N/A,,THI,Theft by Pickpocketing,,
1301 Stanford DR,50,Lowe Art Museum,894666.745,504343.22399999999,,,07000395,###,18,,THK,Theft Other,,
1303 Stanford DR,43,Behavioral Medical Research Building,894817.86600000004,504665.10800000001,,,07000399,###,#N/A,,THL,Theft from Unsecured construction site,,
1306 Stanford DR,31,Whitten University Center,893821.40300000005,504487.02600000001,,,07000399,###,35,,TVA,Theft of Auto,,
1201 Stanford DR,44,Utility Plant #3,894967.58700000006,504654.63900000002,,,07000403,###,#N/A,,TVC,Theft of Truck/SUV,,
1310 Campo Sano DR,1,Art Annex Building 3,893411.61,506011.47399999999,,,07000403,###,14tpw,,TVE,Theft of Bicycle,,
"1311 Miller DR, Classroom",14,Law Classroom,893381.554,504887.60600000003,,,07000405,###,#N/A,,VAA,Vandalism Structure,,
"1311 Miller DR, Law Admin",11,Law Adminstration,893237.66,504807.88199999998,,,07000405,###,49,,VAB,Vandalism Vehicle,,
